# Region type : patch outlet
# Faces       : 2
# Area        : 1.100000e-06
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
4.95          	(2.200311e-08 -2.283930e-15 0.000000e+00)
5             	(2.200314e-08 -2.258484e-15 0.000000e+00)
5.05          	(2.200318e-08 -2.251897e-15 0.000000e+00)
5.1           	(2.200321e-08 -2.199073e-15 0.000000e+00)
5.15          	(2.200323e-08 -2.124793e-15 0.000000e+00)
5.2           	(2.200325e-08 -2.114931e-15 0.000000e+00)
5.25          	(2.200327e-08 -2.086979e-15 0.000000e+00)
5.3           	(2.200329e-08 -2.065289e-15 0.000000e+00)
5.35          	(2.200331e-08 -1.989933e-15 0.000000e+00)
5.4           	(2.200331e-08 -1.938396e-15 0.000000e+00)
5.45          	(2.200332e-08 -1.908486e-15 0.000000e+00)
5.5           	(2.200332e-08 -1.916059e-15 0.000000e+00)
5.55          	(2.200333e-08 -1.865755e-15 0.000000e+00)
5.6           	(2.200333e-08 -1.795476e-15 0.000000e+00)
5.65          	(2.200333e-08 -1.805080e-15 0.000000e+00)
5.7           	(2.200333e-08 -1.689949e-15 0.000000e+00)
5.75          	(2.200332e-08 -1.487318e-15 0.000000e+00)
5.8           	(2.200331e-08 -1.687265e-15 0.000000e+00)
5.85          	(2.200330e-08 -1.577066e-15 0.000000e+00)
5.9           	(2.200329e-08 -1.532488e-15 0.000000e+00)
5.95          	(2.200327e-08 -1.497324e-15 0.000000e+00)
6             	(2.200326e-08 -1.460099e-15 0.000000e+00)
6.05          	(2.200324e-08 -1.410860e-15 0.000000e+00)
6.1           	(2.200322e-08 -1.355850e-15 0.000000e+00)
6.15          	(2.200320e-08 -1.298637e-15 0.000000e+00)
6.2           	(2.200319e-08 -1.243729e-15 0.000000e+00)
6.25          	(2.200317e-08 -1.195129e-15 0.000000e+00)
6.3           	(2.200314e-08 -1.155894e-15 0.000000e+00)
6.35          	(2.200312e-08 -1.125035e-15 0.000000e+00)
6.4           	(2.200310e-08 -9.562499e-16 0.000000e+00)
6.45          	(2.200307e-08 -1.054999e-15 0.000000e+00)
6.5           	(2.200305e-08 -1.015745e-15 0.000000e+00)
6.55          	(2.200303e-08 -7.694587e-16 0.000000e+00)
