# Region type : patch outlet
# Faces       : 50
# Area        : 6.600000e-08
# Scale factor: 1.000000e+00
# Time        	areaIntegrate(U)
0.065         	(1.715377e-12 1.965328e-17 0.000000e+00)
0.13          	(1.719851e-12 2.601698e-13 0.000000e+00)
0.195         	(1.662850e-12 -1.543148e-11 0.000000e+00)
0.26          	(2.056589e-12 1.157106e-10 0.000000e+00)
0.325         	(-5.941368e-12 -1.630548e-09 0.000000e+00)
0.39          	(9.343469e-11 2.152798e-08 0.000000e+00)
0.455         	(-3.156680e-10 -1.749549e-07 0.000000e+00)
0.52          	(3.514727e-09 9.866125e-07 0.000000e+00)
